match_number,match_date,group,home_team,away_team,venue
1,2026-06-11,A,Mexico,South Africa,Mexico City Stadium
4,2026-06-12,D,USA,Paraguay,Los Angeles Stadium
5,2026-06-13,C,Haiti,Scotland,Boston Stadium
7,2026-06-13,C,Brazil,Morocco,New York New Jersey Stadium
8,2026-06-13,B,Qatar,Switzerland,San Francisco Bay Area Stadium
9,2026-06-14,E,Cote d Ivoire,Ecuador,Philadelphia Stadium
10,2026-06-14,E,Germany,Curacao,Houston Stadium
11,2026-06-14,F,Netherlands,Japan,Dallas Stadium
13,2026-06-15,H,Saudi Arabia,Uruguay,Miami Stadium
14,2026-06-15,H,Spain,Cabo Verde,Atlanta Stadium
15,2026-06-15,G,IR Iran,New Zealand,Los Angeles Stadium
16,2026-06-15,G,Belgium,Egypt,Seattle Stadium
17,2026-06-16,I,France,Senegal,New York New Jersey Stadium
19,2026-06-16,J,Argentina,Algeria,Kansas City Stadium
20,2026-06-16,J,Austria,Jordan,San Francisco Bay Area Stadium
21,2026-06-17,L,Ghana,Panama,Toronto Stadium
22,2026-06-17,L,England,Croatia,Dallas Stadium
24,2026-06-17,K,Uzbekistan,Colombia,Mexico City Stadium
27,2026-06-18,B,Canada,Qatar,BC Place Vancouver
28,2026-06-18,A,Mexico,Korea Republic,Estadio Guadalajara
29,2026-06-19,C,Brazil,Haiti,Philadelphia Stadium
30,2026-06-19,C,Scotland,Morocco,Boston Stadium
32,2026-06-19,D,USA,Australia,Seattle Stadium
33,2026-06-20,E,Germany,Cote d Ivoire,Toronto Stadium
34,2026-06-20,E,Ecuador,Curacao,Kansas City Stadium
36,2026-06-20,F,Tunisia,Japan,Estadio Monterrey
37,2026-06-21,H,Uruguay,Cabo Verde,Miami Stadium
38,2026-06-21,H,Spain,Saudi Arabia,Atlanta Stadium
39,2026-06-21,G,Belgium,IR Iran,Los Angeles Stadium
40,2026-06-21,G,New Zealand,Egypt,BC Place Vancouver
41,2026-06-22,I,Norway,Senegal,New York New Jersey Stadium
43,2026-06-22,J,Argentina,Austria,Dallas Stadium
44,2026-06-22,J,Jordan,Algeria,San Francisco Bay Area Stadium
45,2026-06-23,L,England,Ghana,Boston Stadium
46,2026-06-23,L,Panama,Croatia,Toronto Stadium
47,2026-06-23,K,Portugal,Uzbekistan,Houston Stadium
49,2026-06-24,C,Scotland,Brazil,Miami Stadium
50,2026-06-24,C,Morocco,Haiti,Atlanta Stadium
51,2026-06-24,B,Switzerland,Canada,BC Place Vancouver
54,2026-06-24,A,South Africa,Korea Republic,Estadio Monterrey
55,2026-06-25,E,Curacao,Cote d Ivoire,Philadelphia Stadium
56,2026-06-25,E,Ecuador,Germany,New York New Jersey Stadium
58,2026-06-25,F,Tunisia,Netherlands,Kansas City Stadium
60,2026-06-25,D,Paraguay,Australia,San Francisco Bay Area Stadium
61,2026-06-26,I,Norway,France,Boston Stadium
63,2026-06-26,G,Egypt,IR Iran,Seattle Stadium
64,2026-06-26,G,New Zealand,Belgium,BC Place Vancouver
65,2026-06-26,H,Cabo Verde,Saudi Arabia,Houston Stadium
66,2026-06-26,H,Uruguay,Spain,Estadio Guadalajara
67,2026-06-27,L,Panama,England,New York New Jersey Stadium
68,2026-06-27,L,Croatia,Ghana,Philadelphia Stadium
69,2026-06-27,J,Algeria,Austria,Kansas City Stadium
70,2026-06-27,J,Jordan,Argentina,Dallas Stadium
71,2026-06-27,K,Colombia,Portugal,Miami Stadium
73,2026-06-28,,Group A runners-up,Group B runners-up,Los Angeles Stadium
75,2026-06-29,,Group F winners,Group C runners-up,Estadio Monterrey
76,2026-06-29,,Group C winners,Group F runners-up,Houston Stadium
78,2026-06-30,,Group E runners up,Group I runners-up,Dallas Stadium
83,2026-07-02,,Group K runners-up,Group L runners-up,Toronto Stadium
84,2026-07-02,,Group H winners,Group J runners-up,Los Angeles Stadium
86,2026-07-03,,Group J winners,Group H runners-up,Miami Stadium
88,2026-07-03,,Group D runners-up,Group G runners-up,Dallas Stadium
89,2026-07-04,,Winner match 74,Winner match 77,Philadelphia Stadium
90,2026-07-04,,Winner match 73,Winner match 75,Houston Stadium
91,2026-07-05,,Winner match 76,Winner match 78,New York New Jersey Stadium
92,2026-07-05,,Winner match 79,Winner match 80,Mexico City Stadium
93,2026-07-06,,Winner match 83,Winner match 84,Dallas Stadium
94,2026-07-06,,Winner match 81,Winner match 82,Seattle Stadium
95,2026-07-07,,Winner match 86,Winner match 88,Atlanta Stadium
96,2026-07-07,,Winner match 85,Winner match 87,BC Place Vancouver
97,2026-07-09,,Winner match 89,Winner match 90,Boston Stadium
98,2026-07-10,,Winner match 93,Winner match 94,Los Angeles Stadium
99,2026-07-11,,Winner match 91,Winner match 92,Miami Stadium
100,2026-07-11,,Winner match 95,Winner match 96,Kansas City Stadium
101,2026-07-14,,Winner match 97,Winner match 98,Dallas Stadium
102,2026-07-15,,Winner match 99,Winner match 100,Atlanta Stadium
103,2026-07-18,,Runner-up match 101,Runner-up match 102,Miami Stadium
104,2026-07-19,,Winner match 101,Winner match 102,New York New Jersey Stadium
